,State Name,Literacy
0,Kerala,93.91
1,Lakshwadeep,92.28
2,Mizoram,91.58
3,Tripura,87.75[a]
4,Goa,87.40
5,Daman and Diu,87.07
6,Puducherry,86.55
7,Chandigarh,86.43
8,Delhi,86.34
9,Andaman and Nicobar Islands,86.27
10,Himachal Pradesh,83.78
11,Maharashtra,82.91
12,Sikkim,82.20
13,Tamil Nadu,80.33
14,Nagaland,80.11
15,Manipur,79.85
16,Uttarakhand,79.63
17,Gujarat,79.31
18,Dadra and Nagar Haveli,77.65
19,West Bengal,77.08
20,Punjab,76.68
21,Haryana,76.64
22,Karnataka,75.60
23,Meghalaya,75.48
24,Odisha,73.45
25,Assam,73.18
26,Chhattisgarh,71.04
27,Madhya Pradesh,70.63
28,Uttar Pradesh,69.72
29,Jammu and Kashmir,68.74
30,Jharkhand,67.63
31,Andhra Pradesh,67.35[b]
32,Rajasthan,67.06
33,Arunachal Pradesh,66.95
34,Telangana,66.5[c]
35,Bihar,63.82
36,Ladakh,-
